"","logFC","AveExpr","t","P.Value","adj.P.Val","Significance"
"muc3a",-1.88471694709722,-0.0700023674996996,-2.55516339510586,0.00571267380748679,0.352207240257686,"Not significant"
"spry2",-1.47867804457681,0.276156242094378,-2.55197419982461,0.00576337849837212,0.353608450684103,"Not significant"
"maged4",-1.42980908810134,-1.77445432304947,-2.54336453461307,0.00590227931349643,0.360381199242905,"Not significant"
"hoxc4",1.62475303924374,-3.21596148734903,2.53331096062792,0.00606825738357058,0.368734158994945,"Not significant"
"ret",1.41175641687385,1.03073761591218,2.53033280114382,0.00611821920507807,0.369991256138669,"Not significant"
"lef1",-1.26403805159138,3.64024908696397,-2.51866610734622,0.00631749808525541,0.380223134759729,"Not significant"
"prrg4",1.62745247135481,-2.94066597460546,2.50983079370294,0.00647224788313817,0.387690715616035,"Not significant"
"serp2",-1.4953360646345,-3.7554713636827,-2.49370525700242,0.00676342248016824,0.40322121097569,"Not significant"
"tox3",-1.53682289983597,-0.227957291777446,-2.48437312240676,0.00693721018954933,0.41164037364185,"Not significant"
"col3a1",-1.65071042407636,-3.20023423509125,-2.43820209320936,0.00785683504264292,0.464030551887682,"Not significant"
"tns4",-1.56715056248838,-3.87466223990469,-2.40824589813605,0.00850986227733037,0.500261159642691,"Not significant"
"rasal1",-1.29434649417021,2.75349083165965,-2.38791932743493,0.00897988537323691,0.525448014964543,"Not significant"
"igkv4-1",1.43376128708471,7.76296910710479,2.36810831975427,0.00945990103644986,0.550984742855713,"Not significant"
"rexo2",1.48479165222482,5.06047505504123,2.36576634104212,0.00951811588742938,0.551832416060642,"Not significant"
"nphs1",1.48578605167338,-2.38387351501153,2.3637643695803,0.00956812924180575,0.552199020489419,"Not significant"
"sh3rf3",-1.30971469339058,0.933162657505006,-2.35594343415754,0.00976573885083056,0.561041696980216,"Not significant"
"bco2",1.32622691941563,2.8857186571897,2.34648011438827,0.0100096452019066,0.572452062022158,"Not significant"
"lypd2",1.6344795238782,-3.19564693530342,2.32809327982599,0.0104989116292639,0.597728576947144,"Not significant"
"hmgcs2",-2.07192815921013,0.182952035239594,-2.3188172237822,0.0107536253697503,0.609484623534861,"Not significant"
"siglec1",-1.54538216496695,4.51364175338666,-2.27910806604019,0.011906306775145,0.671802729156508,"Not significant"
"znf462",-1.47327431357442,-2.14640349932008,-2.27295286709669,0.0120943321978884,0.679378953996051,"Not significant"
"jakmip1",1.35227241107085,0.574904619015927,2.26801978210388,0.0122468935896554,0.684904814511745,"Not significant"
"st6galnac1",-1.3100789046158,0.8282336696583,-2.26472413396902,0.012349749704897,0.687614478062523,"Not significant"
"ces5a",1.48095537290053,-3.8262426226295,2.25694746981624,0.0125954522015681,0.698218949015875,"Not significant"
"crisp2",1.68206468311527,-0.435925094554338,2.2505722469331,0.0128000477709051,0.70646202522476,"Not significant"
"tmem35a",1.49692678707503,-1.39193484961063,2.24387611900332,0.0130180570232592,0.715370533552057,"Not significant"
"sfrp2",1.4073628749941,0.568344253864921,2.23651386697507,0.0132614821051226,0.725592520894565,"Not significant"
"cdca7l",-1.20735517368954,3.77312649886205,-2.21739663558928,0.0139121691493034,0.757913387405368,"Not significant"
"fam20a",-1.20486606527336,4.11777041299812,-2.20903194590637,0.0142054939157216,0.770571835196591,"Not significant"
"myo7a",-1.25498818371409,2.88338617497155,-2.18991498530124,0.0148961049914759,0.804580645244716,"Not significant"
"camk2n2",1.42021523926483,-3.02647369962556,2.13161750092276,0.0171847379997806,0.924246398209478,"Not significant"
"usp54",1.24444847094311,1.80136528191809,2.08155064916659,0.0193859806760549,1,"Not significant"
"cd274",-1.4617292378064,1.97472811155498,-2.076234371571,0.0196333183910107,1,"Not significant"
